index,rank,term,p-value,zscore,combined_score,overlap_genes,q-value,7,8,library
10,11,Lysosome,6.861336879740426e-15,6.429757227762668,209.6928629094211,"['SCARB2', 'HEXB', 'CTSZ', 'CLTC', 'HEXA', 'CLTA', 'TCIRG1', 'GNS', 'LITAF', 'CTSS', 'LAPTM4A', 'LAMP1', 'GM2A', 'CTSL', 'LAMP2', 'PSAP', 'ATP6V1H', 'CTSH', 'CTSD', 'CTSC', 'CTSB', 'CTSA', 'ATP6AP1', 'GAA', 'AP1B1', 'M6PR', 'LAPTM5', 'NPC2', 'PPT1', 'MAN2B1', 'ATP6V0D1', 'CD68', 'ATP6V0C', 'LGMN']",1.7153342199351065e-13,0,0,KEGG2019Mouse
11,12,Tuberculosis,9.302874959498925e-11,4.157729747566409,96.03570959989588,"['RAB7', 'CAMK2D', 'RAB5C', 'TCIRG1', 'CORO1A', 'CTSS', 'HSPD1', 'C3', 'PPP3R1', 'LAMP1', 'CASP3', 'LAMP2', 'ATP6V1H', 'MAPK1', 'JAK2', 'CTSD', 'JAK1', 'CD74', 'FCER1G', 'ATP6AP1', 'STAT1', 'IL10RA', 'TNFRSF1A', 'FCGR1', 'FCGR3', 'FCGR4', 'CYCS', 'CALM3', 'ATP6V0D1', 'CALM1', 'CALM2', 'RAB5A', 'ATP6V0C', 'MYD88', 'TLR2']",2.1319088448851704e-09,0,0,KEGG2019Mouse
12,13,Cardiac muscle contraction,1.4379509829210024e-09,6.208356913789851,126.40243647903898,"['COX8A', 'COX7B', 'UQCRB', 'COX4I1', 'ATP1A3', 'ATP1B3', 'UQCR11', 'COX7A2', 'UQCR10', 'COX6A1', 'COX5B', 'COX6C', 'COX7C', 'UQCRH', 'COX6B1', 'COX7A2L', 'UQCRQ', 'UQCRC1', 'UQCRFS1', 'UQCRC2', 'CYC1']",3.041819386948274e-08,0,0,KEGG2019Mouse
13,14,Human papillomavirus infection,4.510409317566268e-09,2.75291568982402,52.902444762310076,"['ITGB1', 'TNC', 'PTEN', 'TCIRG1', 'CCND2', 'PPP2R1A', 'CASP3', 'ATP6V1E1', 'PRKACB', 'OASL1', 'JAK1', 'OASL2', 'IFNAR2', 'ATP6V1G1', 'MAP2K1', 'ATP6AP1', 'PPP2R5C', 'TNFRSF1A', 'PKM', 'COL4A2', 'COL4A1', 'IRF1', 'ATP6V1B2', 'COL6A3', 'ATP6V0D1', 'ATP6V0C', 'TLR3', 'ATP6V0E', 'ATP6V1A', 'LAMA4', 'UBR4', 'THBS2', 'THBS1', 'PPP2CA', 'SPP1', 'ATP6V1H', 'MAPK1', 'ATP6V1D', 'ATP6V1C1', 'ATP6V1F', 'STAT1', 'STAT2', 'WNT7B', 'FN1', 'ISG15', 'RHEB', 'PSMC1', 'GNAS', 'CTNNB1', 'GRB2']",8.859732588076598e-08,0,0,KEGG2019Mouse
14,15,Influenza A,7.786026451209575e-08,3.525673324156559,57.70945529918112,"['CCL12', 'OAS1A', 'ADAR', 'ACTB', 'ACTG1', 'IFIH1', 'NXF3', 'CCL5', 'CASP1', 'TRIM25', 'CCL2', 'MAPK1', 'JAK2', 'JAK1', 'IFNAR2', 'MAP2K1', 'RSAD2', 'DDX58', 'STAT1', 'STAT2', 'PML', 'TNFRSF1A', 'NFKBIA', 'CXCL10', 'OAS3', 'IRF7', 'CYCS', 'MYD88', 'TLR3']",1.4274381827217554e-06,0,0,KEGG2019Mouse
15,16,Collecting duct acid secretion,1.0712527947919206e-07,11.507382326820604,184.6850497210589,"['ATP6V1A', 'ATP6V1G1', 'ATP6V1B2', 'TCIRG1', 'ATP6V1E1', 'ATP6V0D1', 'ATP6V1D', 'ATP6V0C', 'ATP6V1C1', 'ATP6V1F', 'ATP6V0E']",1.8412157410486136e-06,0,0,KEGG2019Mouse
16,17,Bacterial invasion of epithelial cells,1.1746645635752737e-07,5.402240520873229,86.20416256320802,"['ITGB1', 'SEPT11', 'ARPC1B', 'ARPC1A', 'CLTC', 'FN1', 'ILK', 'CLTA', 'ARPC4', 'ARPC5', 'ACTB', 'ACTG1', 'ARPC2', 'ARPC3', 'ELMO2', 'HCLS1', 'CTNNB1', 'RAC1']",1.900192676371766e-06,0,0,KEGG2019Mouse
17,18,Rheumatoid arthritis,1.8218346408477333e-07,4.914847942754919,76.26984701620754,"['ATP6V1A', 'ATP6V1G1', 'CCL12', 'CSF1', 'ATP6AP1', 'TCIRG1', 'CTSL', 'CCL5', 'ATP6V1B2', 'CCL2', 'ATP6V1H', 'ATP6V1E1', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1D', 'ATP6V1C1', 'TLR2', 'ATP6V0E', 'ATP6V1F']",2.783358479072926e-06,0,0,KEGG2019Mouse
18,19,Synaptic vesicle cycle,2.247321104171192e-07,5.126732403326215,78.48184866604478,"['NAPA', 'ATP6V1A', 'ATP6V1G1', 'STXBP1', 'CLTC', 'CLTA', 'TCIRG1', 'ATP6V1B2', 'AP2S1', 'ATP6V1H', 'ATP6V1E1', 'ATP6V0D1', 'ATP6V0C', 'ATP6V1D', 'AP2M1', 'ATP6V1C1', 'ATP6V0E', 'ATP6V1F']",3.252701598142515e-06,0,0,KEGG2019Mouse
19,20,Salmonella infection,2.767769890446776e-07,5.041018766756032,76.11965432633532,"['DYNC1I2', 'DYNC1H1', 'RAB7', 'ARPC1B', 'ARPC1A', 'ARPC4', 'ARPC5', 'KLC1', 'ACTB', 'ACTG1', 'DYNC1LI1', 'ARPC2', 'ARPC3', 'CASP1', 'MAPK1', 'RAC1', 'MYD88', 'PFN2']",3.805683599364317e-06,0,0,KEGG2019Mouse
20,21,Hepatitis C,3.4766064137083836e-07,3.425523267628531,50.94451563648654,"['CD81', 'OAS1A', 'IFIT1', 'PPP2CA', 'PPP2R1A', 'CASP3', 'MAPK1', 'YWHAG', 'YWHAH', 'JAK1', 'IFNAR2', 'MAP2K1', 'RSAD2', 'DDX58', 'STAT1', 'STAT2', 'STAT3', 'YWHAZ', 'TNFRSF1A', 'NFKBIA', 'CXCL10', 'OAS3', 'IRF7', 'CYCS', 'CTNNB1', 'GRB2', 'TLR3']",4.552698875094312e-06,0,0,KEGG2019Mouse
21,22,Oocyte meiosis,5.397105453095392e-07,3.9396813281175462,56.8583983543118,"['ANAPC13', 'MAP2K1', 'CAMK2D', 'FBXW11', 'PPP2R5C', 'YWHAZ', 'RBX1', 'ANAPC11', 'PPP1CB', 'PPP2CA', 'PPP1CC', 'PPP3R1', 'PTTG1', 'PPP2R1A', 'MAPK1', 'CALM3', 'CALM1', 'SKP1A', 'PRKACB', 'CALM2', 'YWHAG', 'YWHAH']",6.74638181636924e-06,0,0,KEGG2019Mouse
22,23,NOD-like receptor signaling pathway,6.013389251755103e-07,3.010532934256199,43.12319625652501,"['CCL12', 'OAS1A', 'GABARAP', 'CCL5', 'NAMPT', 'CASP4', 'CASP1', 'CCL2', 'MAPK1', 'DNM1L', 'GBP2', 'CTSB', 'JAK1', 'GBP3', 'GSDMD', 'IFNAR2', 'GABARAPL2', 'GABARAPL1', 'GBP7', 'IFI207', 'IFI204', 'STAT1', 'STAT2', 'CYBB', 'CYBA', 'NFKBIA', 'OAS3', 'IRF7', 'VDAC2', 'SUGT1', 'MYD88']",7.18992193144632e-06,0,0,KEGG2019Mouse
23,24,Citrate cycle (TCA cycle),8.147193948760884e-07,8.765203417068426,122.89185155728148,"['PDHA1', 'MDH1', 'IDH3G', 'IDH3B', 'OGDH', 'SUCLG1', 'PDHB', 'ACO2', 'SDHA', 'DLD', 'IDH3A']",9.335326399621847e-06,0,0,KEGG2019Mouse
24,25,Proteoglycans in cancer,1.487168158349426e-06,2.9277691620846844,39.2866710531573,"['ITGB1', 'DDX5', 'CAMK2D', 'SDC4', 'SDC2', 'HIF1A', 'THBS1', 'ACTB', 'ACTG1', 'PPP1CB', 'PPP1CC', 'CTSL', 'CASP3', 'TIMP3', 'MAPK1', 'RAC1', 'PRKACB', 'MAP2K1', 'WNT7B', 'STAT3', 'RPS6', 'FN1', 'PLAUR', 'MSN', 'HCLS1', 'CTNNB1', 'GRB2', 'PTPN6', 'CD44', 'TLR2']",1.6358849741843684e-05,0,0,KEGG2019Mouse
25,26,Vasopressin-regulated water reabsorption,3.189468866094814e-06,6.479827956989247,82.00647456518337,"['DYNC1I2', 'DYNC1H1', 'DYNC1LI1', 'RAB5C', 'DCTN2', 'DCTN1', 'GNAS', 'PRKACB', 'DYNLL2', 'RAB5A', 'RAB11A', 'RAB11B']",3.373476685292591e-05,0,0,KEGG2019Mouse
26,27,Leishmaniasis,4.044869795556684e-06,4.836229946524064,60.056599438490196,"['ITGB1', 'STAT1', 'CYBB', 'CYBA', 'FCGR1', 'C3', 'NFKBIA', 'FCGR3', 'FCGR4', 'MAPK1', 'PTPN6', 'JAK2', 'MYD88', 'JAK1', 'TLR2']",4.1197747917706966e-05,0,0,KEGG2019Mouse
27,28,Kaposi sarcoma-associated herpesvirus infection,5.417343290043174e-06,2.7212460296645977,32.9975709205367,"['HIF1A', 'GABARAP', 'C3', 'PPP3R1', 'GNG10', 'UBB', 'CASP3', 'MAPK1', 'RAC1', 'JAK2', 'JAK1', 'IFNAR2', 'GABARAPL2', 'GABARAPL1', 'MAP2K1', 'STAT1', 'STAT2', 'STAT3', 'GNG12', 'GNG11', 'TNFRSF1A', 'NFKBIA', 'GNB4', 'IRF7', 'CTNNB1', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'TLR3']",5.3206050170066884e-05,0,0,KEGG2019Mouse
28,29,Epstein-Barr virus infection,6.492403443454265e-06,2.642222404880633,31.5610236556526,"['PSMD14', 'OAS1A', 'PSMD8', 'CCND2', 'CASP3', 'PSMD3', 'PSMD1', 'RAC1', 'B2M', 'JAK1', 'IFNAR2', 'STAT1', 'DDX58', 'STAT2', 'STAT3', 'TAP1', 'ISG15', 'TAPBP', 'SEM1', 'NFKBIA', 'CXCL10', 'PSMC5', 'PSMC3', 'PSMC1', 'OAS3', 'IRF7', 'CYCS', 'VIM', 'CD44', 'MYD88', 'TLR2']",6.156589472241113e-05,0,0,KEGG2019Mouse
29,30,Osteoclast differentiation,1.0685509739940208e-05,3.298462466083811,37.75625291238592,"['IFNAR2', 'CSF1R', 'MAP2K1', 'SPI1', 'CSF1', 'STAT1', 'STAT2', 'CYBA', 'LILRB4A', 'TNFRSF1A', 'FCGR1', 'NFKBIA', 'FCGR3', 'PPP3R1', 'TYROBP', 'SOCS1', 'FCGR4', 'MAPK1', 'GRB2', 'RAC1', 'JAK1']",9.79505059494519e-05,0,0,KEGG2019Mouse
30,31,Apoptosis,1.5146980431762193e-05,3.1078720277348606,34.49026048351175,"['DAXX', 'MAP2K1', 'CTSZ', 'GZMB', 'ACTB', 'CTSS', 'ACTG1', 'TNFRSF1A', 'NFKBIA', 'TUBA1A', 'CTSL', 'CASP3', 'LMNA', 'CYCS', 'CTSH', 'MAPK1', 'BCL2A1B', 'CTSD', 'SPTAN1', 'CTSC', 'MCL1', 'CTSB']",0.00013436837479789042,0,0,KEGG2019Mouse
31,32,Pertussis,2.0548459597079822e-05,4.120715350223547,44.47374584181793,"['ITGB1', 'C1QB', 'C1QA', 'C3', 'CASP3', 'IRF1', 'CFL1', 'CASP1', 'IRF8', 'MAPK1', 'CALM3', 'CALM1', 'CALM2', 'MYD88', 'C1QC']",0.00017658832466240472,0,0,KEGG2019Mouse
32,33,Necroptosis,2.1746700570760486e-05,2.785983134022583,29.91045007444286,"['CAMK2D', 'FTL1', 'H2AFJ', 'FTH1', 'CASP1', 'DNM1L', 'JAK2', 'JAK1', 'ZBP1', 'IFNAR2', 'MLKL', 'STAT1', 'STAT2', 'STAT3', 'CYBB', 'TNFRSF1A', 'GLUD1', 'CHMP2A', 'CHMP4B', 'VDAC2', 'SLC25A5', 'PPIA', 'SLC25A4', 'TLR3', 'CHMP5']",0.00018073373695719214,0,0,KEGG2019Mouse
33,34,Human cytomegalovirus infection,2.2345262023798302e-05,2.4206318608850923,25.92229545612434,"['CCL12', 'CX3CL1', 'GNA13', 'PPP3R1', 'GNG10', 'CASP3', 'CCL5', 'GNA12', 'CCL2', 'MAPK1', 'RAC1', 'B2M', 'PRKACB', 'JAK1', 'MAP2K1', 'IL10RA', 'STAT3', 'TAP1', 'GNG12', 'GNG11', 'TNFRSF1A', 'TAPBP', 'NFKBIA', 'RHEB', 'GNAS', 'GNB4', 'CTNNB1', 'CYCS', 'CALM3', 'GRB2', 'CALM1', 'CALM2']",0.00018073373695719214,0,0,KEGG2019Mouse
34,35,Endocytosis,2.6702070897167375e-05,2.359259856300663,24.844821581297367,"['ARF3', 'RAB7', 'RAB5C', 'ARPC1B', 'ARPC1A', 'CLTC', 'CLTA', 'UBB', 'CAPZB', 'AP2S1', 'SNX5', 'GIT1', 'AP2M1', 'SH3GLB1', 'ARPC4', 'SNF8', 'ARPC5', 'RAB11A', 'EPN1', 'PML', 'RAB11B', 'RAB10', 'ARPC2', 'BIN1', 'ARPC3', 'CAPZA1', 'CAPZA2', 'CHMP2A', 'CHMP4B', 'RAB5A', 'VPS28', 'ARF5', 'CHMP5']",0.00020980198562060078,0,0,KEGG2019Mouse
35,36,Fc gamma R-mediated phagocytosis,2.778652977726826e-05,3.7777135605784573,39.631838814734046,"['MAP2K1', 'GSN', 'MYO10', 'ARPC1B', 'ARPC1A', 'ARPC4', 'ARPC5', 'FCGR1', 'MARCKS', 'PTPRC', 'ARPC2', 'BIN1', 'ARPC3', 'CFL1', 'MAPK1', 'RAC1']",0.00021225821357635476,0,0,KEGG2019Mouse
36,37,Human immunodeficiency virus 1 infection,3.6607949183539795e-05,2.4305555555555554,24.828720851502272,"['TRIM30D', 'RNF7', 'SAMHD1', 'PPP3R1', 'GNG10', 'CASP3', 'CFL1', 'MAPK1', 'ELOB', 'RAC1', 'SKP1A', 'B2M', 'MAP2K1', 'FBXW11', 'AP1B1', 'TAP1', 'GNG12', 'GNG11', 'RBX1', 'TNFRSF1A', 'TAPBP', 'BST2', 'NFKBIA', 'GNB4', 'CYCS', 'CALM3', 'CALM1', 'CALM2', 'MYD88', 'TLR2']",0.00027208610879657954,0,0,KEGG2019Mouse
37,38,Ferroptosis,6.001196388475777e-05,5.570245489500148,54.148170454933876,"['FTL1', 'MAP1LC3B', 'MAP1LC3A', 'GPX4', 'FTH1', 'TRF', 'CYBB', 'VDAC2', 'SLC3A2', 'SAT1']",0.000434297107060747,0,0,KEGG2019Mouse
38,39,Focal adhesion,6.470046891334305e-05,2.5282643871323547,24.38698626160274,"['ITGB1', 'LAMA4', 'TNC', 'PTEN', 'ILK', 'THBS2', 'THBS1', 'ACTB', 'MYL12B', 'ACTG1', 'PPP1CB', 'RAP1B', 'PPP1CC', 'CCND2', 'SPP1', 'MAPK1', 'RAC1', 'MAP2K1', 'FN1', 'COL4A2', 'COL4A1', 'ZYX', 'CTNNB1', 'COL6A3', 'GRB2', 'TLN1']",0.00044937460159283533,0,0,KEGG2019Mouse
39,40,Measles,6.536357841350332e-05,2.866946411399598,27.624592190648084,"['IFNAR2', 'DDX58', 'STAT1', 'STAT2', 'STAT3', 'MSN', 'OAS1A', 'ADAR', 'NFKBIA', 'IFIH1', 'CCND2', 'CASP3', 'OAS3', 'CSNK2B', 'RACK1', 'IRF7', 'CYCS', 'EIF3H', 'MYD88', 'JAK1', 'TLR2']",0.00044937460159283533,0,0,KEGG2019Mouse
40,41,PI3K-Akt signaling pathway,7.285183090485119e-05,2.0713905213595902,19.73430920099167,"['ITGB1', 'CSF1R', 'CSF1', 'LAMA4', 'TNC', 'PTEN', 'THBS2', 'EFNA4', 'THBS1', 'PPP2CA', 'GNG10', 'CCND2', 'PPP2R1A', 'SPP1', 'MAPK1', 'RAC1', 'JAK2', 'YWHAG', 'JAK1', 'MCL1', 'YWHAH', 'IFNAR2', 'MAP2K1', 'RPS6', 'FN1', 'PPP2R5C', 'GNG12', 'GNG11', 'YWHAZ', 'COL4A2', 'COL4A1', 'RHEB', 'GNB4', 'COL6A3', 'GRB2', 'SGK1', 'PIK3AP1', 'EPHA2', 'TLR2']",0.0004886403292398555,0,0,KEGG2019Mouse
